Volatility 3 Framework 2.28.1

PID	Process	Base	Name	Major	Minor	Product	Build
760	csrss.exe	0x7ffff9820000	ADVAPI32.dll	10	0	26100	7920
760	csrss.exe	0x7ffff9770000	msvcrt.dll	10	0	26100	7623
760	csrss.exe	0x7ffff94b0000	sechost.dll	10	0	26100	7920
760	csrss.exe	0x7ffff8050000	RPCRT4.dll	10	0	26100	8036
760	csrss.exe	0x7ffff5f40000	ServicingCommon.dll	-	-	-	-
760	csrss.exe	0x7ffff6540000	bcryptPrimitives.dll	10	0	26100	7623
824	winlogon.exe	0x7ff77fe60000	winlogon.exe	10	0	26100	8036
824	winlogon.exe	0x7ffff9a60000	ntdll.dll	-	-	-	-
824	winlogon.exe	0x7ffff9560000	KERNEL32.DLL	-	-	-	-
824	winlogon.exe	0x7ffff65f0000	KERNELBASE.dll	-	-	-	-
824	winlogon.exe	0x7ffff6ae0000	ucrtbase.dll	10	0	26100	7623
824	winlogon.exe	0x7ffff94b0000	sechost.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff8050000	RPCRT4.dll	10	0	26100	8036
824	winlogon.exe	0x7ffff7890000	combase.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff9820000	advapi32.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff9770000	msvcrt.dll	10	0	26100	7623
824	winlogon.exe	0x7ffff9630000	shcore.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff61c0000	powrprof.dll	10	0	26100	3912
824	winlogon.exe	0x7ffff61a0000	UMPDC.dll	10	0	26100	7019
824	winlogon.exe	0x7ffff6540000	bcryptPrimitives.dll	10	0	26100	7623
824	winlogon.exe	0x7ffff6180000	utcapi.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff6260000	profapi.dll	10	0	26100	7309
824	winlogon.exe	0x7ffff7c20000	user32.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff69f0000	win32u.dll	10	0	26100	8036
824	winlogon.exe	0x7ffff90f0000	GDI32.dll	10	0	26100	8036
824	winlogon.exe	0x7ffff6c30000	gdi32full.dll	10	0	26100	8036
824	winlogon.exe	0x7ffff75d0000	msvcp_win.dll	10	0	26100	7623
824	winlogon.exe	0x7ffff9730000	IMM32.DLL	10	0	26100	7309
824	winlogon.exe	0x7ffff60f0000	winsta.dll	10	0	26100	8036
824	winlogon.exe	0x7ffff5370000	SspiCli.dll	10	0	26100	7920
824	winlogon.exe	0x7ffff56f0000	USERENV.dll	10	0	26100	7920
