Volatility 3 Framework 2.28.1

PID	Process	Block	Variable	Value
516	svchost.exe	0x1e95a104bb0	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
516	svchost.exe	0x1e95a104bb0	PUBLIC	C:\Users\Public
516	svchost.exe	0x1e95a104bb0	SystemDrive	C:
516	svchost.exe	0x1e95a104bb0	SystemRoot	C:\WINDOWS
516	svchost.exe	0x1e95a104bb0	TEMP	C:\WINDOWS\TEMP
516	svchost.exe	0x1e95a104bb0	TMP	C:\WINDOWS\TEMP
516	svchost.exe	0x1e95a104bb0	USERDOMAIN	WORKGROUP
516	svchost.exe	0x1e95a104bb0	USERNAME	CLEANWINDOWS11$
516	svchost.exe	0x1e95a104bb0	USERPROFILE	C:\WINDOWS\system32\config\systemprofile
516	svchost.exe	0x1e95a104bb0	windir	C:\WINDOWS
592	fontdrvhost.ex	0x29d62bf6610	ALLUSERSPROFILE	C:\ProgramData
592	fontdrvhost.ex	0x29d62bf6610	CommonProgramFiles	C:\Program Files\Common Files
592	fontdrvhost.ex	0x29d62bf6610	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
592	fontdrvhost.ex	0x29d62bf6610	CommonProgramW6432	C:\Program Files\Common Files
592	fontdrvhost.ex	0x29d62bf6610	COMPUTERNAME	CLEANWINDOWS11
592	fontdrvhost.ex	0x29d62bf6610	ComSpec	C:\WINDOWS\system32\cmd.exe
592	fontdrvhost.ex	0x29d62bf6610	DriverData	C:\Windows\System32\Drivers\DriverData
592	fontdrvhost.ex	0x29d62bf6610	LOCALAPPDATA	%TEMP%\Packages\microsoft.windows.fontdrvhost\AC
592	fontdrvhost.ex	0x29d62bf6610	NUMBER_OF_PROCESSORS	4
592	fontdrvhost.ex	0x29d62bf6610	OS	Windows_NT
592	fontdrvhost.ex	0x29d62bf6610	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\
592	fontdrvhost.ex	0x29d62bf6610	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
592	fontdrvhost.ex	0x29d62bf6610	PROCESSOR_ARCHITECTURE	AMD64
592	fontdrvhost.ex	0x29d62bf6610	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 186 Stepping 3, GenuineIntel
592	fontdrvhost.ex	0x29d62bf6610	PROCESSOR_LEVEL	6
592	fontdrvhost.ex	0x29d62bf6610	PROCESSOR_REVISION	ba03
592	fontdrvhost.ex	0x29d62bf6610	ProgramData	C:\ProgramData
592	fontdrvhost.ex	0x29d62bf6610	ProgramFiles	C:\Program Files
592	fontdrvhost.ex	0x29d62bf6610	ProgramFiles(x86)	C:\Program Files (x86)
592	fontdrvhost.ex	0x29d62bf6610	ProgramW6432	C:\Program Files
592	fontdrvhost.ex	0x29d62bf6610	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
592	fontdrvhost.ex	0x29d62bf6610	PUBLIC	C:\Users\Public
592	fontdrvhost.ex	0x29d62bf6610	SystemDrive	C:
592	fontdrvhost.ex	0x29d62bf6610	SystemRoot	C:\WINDOWS
592	fontdrvhost.ex	0x29d62bf6610	TEMP	%TEMP%\Packages\microsoft.windows.fontdrvhost\AC\Temp
592	fontdrvhost.ex	0x29d62bf6610	TMP	%TEMP%\Packages\microsoft.windows.fontdrvhost\AC\Temp
592	fontdrvhost.ex	0x29d62bf6610	USERDOMAIN	Font Driver Host
592	fontdrvhost.ex	0x29d62bf6610	USERNAME	UMFD-1
592	fontdrvhost.ex	0x29d62bf6610	USERPROFILE	C:\Users\Default
592	fontdrvhost.ex	0x29d62bf6610	windir	C:\WINDOWS
608	fontdrvhost.ex	0x24b75ca6610	ALLUSERSPROFILE	C:\ProgramData
608	fontdrvhost.ex	0x24b75ca6610	CommonProgramFiles	C:\Program Files\Common Files
608	fontdrvhost.ex	0x24b75ca6610	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
608	fontdrvhost.ex	0x24b75ca6610	CommonProgramW6432	C:\Program Files\Common Files
608	fontdrvhost.ex	0x24b75ca6610	COMPUTERNAME	CLEANWINDOWS11
608	fontdrvhost.ex	0x24b75ca6610	ComSpec	C:\WINDOWS\system32\cmd.exe
608	fontdrvhost.ex	0x24b75ca6610	DriverData	C:\Windows\System32\Drivers\DriverData
608	fontdrvhost.ex	0x24b75ca6610	LOCALAPPDATA	%TEMP%\Packages\microsoft.windows.fontdrvhost\AC
608	fontdrvhost.ex	0x24b75ca6610	NUMBER_OF_PROCESSORS	4
608	fontdrvhost.ex	0x24b75ca6610	OS	Windows_NT
608	fontdrvhost.ex	0x24b75ca6610	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\
608	fontdrvhost.ex	0x24b75ca6610	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
608	fontdrvhost.ex	0x24b75ca6610	PROCESSOR_ARCHITECTURE	AMD64
608	fontdrvhost.ex	0x24b75ca6610	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 186 Stepping 3, GenuineIntel
608	fontdrvhost.ex	0x24b75ca6610	PROCESSOR_LEVEL	6
608	fontdrvhost.ex	0x24b75ca6610	PROCESSOR_REVISION	ba03
608	fontdrvhost.ex	0x24b75ca6610	ProgramData	C:\ProgramData
608	fontdrvhost.ex	0x24b75ca6610	ProgramFiles	C:\Program Files
608	fontdrvhost.ex	0x24b75ca6610	ProgramFiles(x86)	C:\Program Files (x86)
608	fontdrvhost.ex	0x24b75ca6610	ProgramW6432	C:\Program Files
608	fontdrvhost.ex	0x24b75ca6610	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
608	fontdrvhost.ex	0x24b75ca6610	PUBLIC	C:\Users\Public
608	fontdrvhost.ex	0x24b75ca6610	SystemDrive	C:
608	fontdrvhost.ex	0x24b75ca6610	SystemRoot	C:\WINDOWS
608	fontdrvhost.ex	0x24b75ca6610	TEMP	%TEMP%\Packages\microsoft.windows.fontdrvhost\AC\Temp
608	fontdrvhost.ex	0x24b75ca6610	TMP	%TEMP%\Packages\microsoft.windows.fontdrvhost\AC\Temp
608	fontdrvhost.ex	0x24b75ca6610	USERDOMAIN	Font Driver Host
608	fontdrvhost.ex	0x24b75ca6610	USERNAME	UMFD-0
608	fontdrvhost.ex	0x24b75ca6610	USERPROFILE	C:\Users\Default
608	fontdrvhost.ex	0x24b75ca6610	windir	C:\WINDOWS
456	svchost.exe	0x1a8be104c40	ALLUSERSPROFILE	C:\ProgramData
456	svchost.exe	0x1a8be104c40	APPDATA	C:\WINDOWS\ServiceProfiles\NetworkService\AppData\Roaming
456	svchost.exe	0x1a8be104c40	CommonProgramFiles	C:\Program Files\Common Files
456	svchost.exe	0x1a8be104c40	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
456	svchost.exe	0x1a8be104c40	CommonProgramW6432	C:\Program Files\Common Files
456	svchost.exe	0x1a8be104c40	COMPUTERNAME	CLEANWINDOWS11
456	svchost.exe	0x1a8be104c40	ComSpec	C:\WINDOWS\system32\cmd.exe
456	svchost.exe	0x1a8be104c40	DriverData	C:\Windows\System32\Drivers\DriverData
456	svchost.exe	0x1a8be104c40	LOCALAPPDATA	C:\WINDOWS\ServiceProfiles\NetworkService\AppData\Local
456	svchost.exe	0x1a8be104c40	NUMBER_OF_PROCESSORS	4
456	svchost.exe	0x1a8be104c40	OS	Windows_NT
456	svchost.exe	0x1a8be104c40	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\WINDOWS\ServiceProfiles\NetworkService\AppData\Local\Microsoft\WindowsApps
456	svchost.exe	0x1a8be104c40	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
456	svchost.exe	0x1a8be104c40	PROCESSOR_ARCHITECTURE	AMD64
456	svchost.exe	0x1a8be104c40	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 186 Stepping 3, GenuineIntel
456	svchost.exe	0x1a8be104c40	PROCESSOR_LEVEL	6
456	svchost.exe	0x1a8be104c40	PROCESSOR_REVISION	ba03
456	svchost.exe	0x1a8be104c40	ProgramData	C:\ProgramData
456	svchost.exe	0x1a8be104c40	ProgramFiles	C:\Program Files
456	svchost.exe	0x1a8be104c40	ProgramFiles(x86)	C:\Program Files (x86)
456	svchost.exe	0x1a8be104c40	ProgramW6432	C:\Program Files
456	svchost.exe	0x1a8be104c40	PSModulePath	%ProgramFiles%\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules
456	svchost.exe	0x1a8be104c40	PUBLIC	C:\Users\Public
456	svchost.exe	0x1a8be104c40	SystemDrive	C:
456	svchost.exe	0x1a8be104c40	SystemRoot	C:\WINDOWS
456	svchost.exe	0x1a8be104c40	TEMP	C:\WINDOWS\SERVIC~1\NETWOR~1\AppData\Local\Temp
456	svchost.exe	0x1a8be104c40	TMP	C:\WINDOWS\SERVIC~1\NETWOR~1\AppData\Local\Temp
456	svchost.exe	0x1a8be104c40	USERDOMAIN	WORKGROUP
456	svchost.exe	0x1a8be104c40	USERNAME	CLEANWINDOWS11$
456	svchost.exe	0x1a8be104c40	USERPROFILE	C:\WINDOWS\ServiceProfiles\NetworkService
456	svchost.exe	0x1a8be104c40	windir	C:\WINDOWS
1072	svchost.exe	0x2ac18104bb0	ALLUSERSPROFILE	C:\ProgramData
1072	svchost.exe	0x2ac18104bb0	APPDATA	C:\WINDOWS\system32\config\systemprofile\AppData\Roaming
1072	svchost.exe	0x2ac18104bb0	CommonProgramFiles	C:\Program Files\Common Files
1072	svchost.exe	0x2ac18104bb0	CommonProgramFiles(x86)	C:\Program Files (x86)\Common Files
1072	svchost.exe	0x2ac18104bb0	CommonProgramW6432	C:\Program Files\Common Files
1072	svchost.exe	0x2ac18104bb0	COMPUTERNAME	CLEANWINDOWS11
1072	svchost.exe	0x2ac18104bb0	ComSpec	C:\WINDOWS\system32\cmd.exe
1072	svchost.exe	0x2ac18104bb0	DriverData	C:\Windows\System32\Drivers\DriverData
1072	svchost.exe	0x2ac18104bb0	LOCALAPPDATA	C:\WINDOWS\system32\config\systemprofile\AppData\Local
1072	svchost.exe	0x2ac18104bb0	NUMBER_OF_PROCESSORS	4
1072	svchost.exe	0x2ac18104bb0	OS	Windows_NT
1072	svchost.exe	0x2ac18104bb0	Path	C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\WINDOWS\system32\config\systemprofile\AppData\Local\Microsoft\WindowsApps
1072	svchost.exe	0x2ac18104bb0	PATHEXT	.COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC
1072	svchost.exe	0x2ac18104bb0	PROCESSOR_ARCHITECTURE	AMD64
1072	svchost.exe	0x2ac18104bb0	PROCESSOR_IDENTIFIER	Intel64 Family 6 Model 186 Stepping 3, GenuineIntel
1072	svchost.exe	0x2ac18104bb0	PROCESSOR_LEVEL	6
1072	svchost.exe	0x2ac18104bb0	PROCESSOR_REVISION	ba03
1072	svchost.exe	0x2ac18104bb0	ProgramData	C:\ProgramData
1072	svchost.exe	0x2ac18104bb0	ProgramFiles	C:\Program Files
1072	svchost.exe	0x2ac18104bb0	ProgramFiles(x86)	C:\Program Files (x86)
1072	svchost.exe	0x2ac18104bb0	ProgramW6432	C:\Program Files
