Volatility 3 Framework 2.28.1

Offset	Name
0xc08eaaec1d00	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\TRANSLAT\MSB1CORE.DLL
0xc08eaaec2ef0	\$MapAttributeValue
0xc08eaaec3ef0	\ProgramData\McAfee\Agent\AgentEvents\Upload\mc_202109051801576047964000343F4.xml
0xc08eaaec41f0	\$MapAttributeValue
0xc08eaaec4580	\$MapAttributeValue
0xc08eaaecab80	\Windows\WinSxS\Temp\PendingRenames\7b1829f28daad70104000000004b6441.programdata.cdf-ms
0xc08eaaed0d80	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\OFFICE16\1033\ACEINTL.DLL
0xc08eaaed2d40	\Program Files (x86)\Microsoft Office\root\Licenses16\HomeStudent2019R_OEM_Perp-ul-phn.xrm-ms
0xc08eaaed6a40	\Windows\SoftwareDistribution\DataStore\Logs\edb.chk
0xc08eaaed7cc0	\Program Files (x86)\Microsoft Office\root\Office16\CONVERT\1033\OLAPPTR.FAE
0xc08eaaedd080	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Filters\api-ms-win-crt-environment-l1-1-0.dll
0xc08eaaee8ef0	\Windows\System32\winevt\Logs\Microsoft-Windows-Fault-Tolerant-Heap%4Operational.evtx
0xc08eaaef6cd0	\$Secure:$SII:$INDEX_ALLOCATION
0xc08eaaef8350	\$MapAttributeValue
0xc08eaaf13080	\Windows\System32\config\systemprofile\AppData\Local\DataSharing\Storage\DSTokenDB2.dat
0xc08eaaf149c0	\Program Files (x86)\Microsoft Office\root\Office16\MSOUTL.OLB
0xc08eaaf1a390	\Program Files (x86)\Internet Explorer\iexplore.exe
0xc08eaaf36330	\Program Files (x86)\Microsoft Office\root\Licenses16\MondoR_SubTrial-pl.xrm-ms
0xc08eaaf3ccc0	\Windows\security\templates\policies\gpt00001.inf
0xc08eaaf3d080	\ProgramData\McAfee\Agent\logs\macompatsvc_BASE-WKSTN-01.log
0xc08eaaf42ef0	\$MapAttributeValue
0xc08eaaf4b1b0	\Windows\WinSxS\Temp\PendingRenames\dc4edef28daad70115000000004b6441.$$_deliveryoptimization_896577bf04143e4d.cdf-ms
0xc08eaaf52ef0	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\oregres.dll
0xc08eaaf56060	\$MapAttributeValue
0xc08eaaf66330	\Windows\System32\Recovery\ReAgent.xml
0xc08eaaf6bef0	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesX64\Microsoft Office\Office16\ucrtbase.dll
0xc08eaaf6c350	\Windows\System32\iertutil.dll
0xc08eaaf70b30	\Program Files (x86)\Microsoft Office\root\Office16\ADDINS\Microsoft Power Query for Excel Integrated\bin\PRIVATE_ODBC32.dll
0xc08eaaf70ef0	\Program Files (x86)\Microsoft Office\root\Office16\ADDINS\Power Map Excel Add-in\POWERMAPCLASSIFICATION.DLL
0xc08eaaf85080	\Windows\System32\gpupdate.exe
0xc08eaaf853f0	\Windows\SysWOW64\adsldpc.dll
0xc08eaaf8a080	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\Smart Tag\FBIBLIO.DLL
0xc08eaaf8b080	\Windows\SysWOW64\DataExchange.dll
0xc08eaaf8d080	\Windows\WinSxS\Temp\PendingRenames\c7ebfaf28daad70121000000004b6441.Specialize.xml
0xc08eaaf8d890	\$MapAttributeValue
0xc08eaaf8fef0	\Windows\Microsoft.NET\Framework64\v4.0.30319\WMINet_Utils.dll
0xc08eaaf945a0	\$Directory
0xc08eaaf96ca0	\Windows\WinSxS\Temp\PendingRenames\ef8600aac4a9d70121000000dc4a3448.Specialize.xml
0xc08eaaf9d180	\$MapAttributeValue
0xc08eaaf9e580	\Program Files (x86)\Microsoft Office\root\Office16\ADDINS\Microsoft Power Query for Excel Integrated\bin\Newtonsoft.Json.dll
0xc08eaaf9f580	\Program Files\Common Files\microsoft shared\ClickToRun\Updates\16.0.13628.20448\ApiClient.dll
0xc08eaafab220	\Program Files (x86)\Microsoft Office\root\Licenses16\OneNoteVL_MAK-ul-oob.xrm-ms
0xc08eaafab3b0	\Program Files (x86)\Microsoft Office\root\Licenses16\HomeStudentVNextR_Retail-pl.xrm-ms
0xc08eaafb8080	\Program Files (x86)\McAfee\VirusScan Enterprise\x64\Scan64.Exe
0xc08eaafcf300	\Program Files (x86)\Microsoft Office\root\Office16\api-ms-win-crt-runtime-l1-1-0.dll
0xc08eaafdf080	\Program Files\Common Files\microsoft shared\ClickToRun
0xc08eaafe3ef0	\Windows\SysWOW64\fwpolicyiomgr.dll
0xc08eaafe55f0	\$MapAttributeValue
0xc08eaafe9b50	\Program Files\Common Files\microsoft shared\ClickToRun\Updates\16.0.14326.20238\vcruntime140.dll
0xc08eaafeda10	\Windows\System32\twinui.pcshell.dll
0xc08eab003ac0	\Program Files (x86)\Microsoft Office\root\Office16\ADDINS\Microsoft Power Query for Excel Integrated\bin\Microsoft.Spatial.NetFX35.dll
0xc08eab007ef0	\Windows\WinSxS\FileMaps\program_files_windows_mail_e07902f329fe05e9.cdf-ms
0xc08eab00dca0	\Program Files (x86)\Microsoft Office\root\Licenses16\Outlook2019VL_MAK_AE-ul-oob.xrm-ms
0xc08eab023ac0	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\OFFICE16\en-us\oregres.dll.mui
0xc08eab023ef0	\Program Files (x86)\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\Smart Tag\FSTOCK.DLL
0xc08eab02dd30	\$Directory
0xc08eab032ef0	\Windows\System32\DriverStore\FileRepository\mdmracal.inf_amd64_a49a4cc2b61b9bac\mdmracal.inf
