Volatility 3 Framework 2.28.1

Task Name	Principal ID	Display Name	Enabled	Creation Time	Last Run Time	Last Successful Run Time	Trigger Type	Trigger Description	Action Type	Action	Action Arguments	Action Context	Working Directory	Key Name
RegisterDeviceScreenOnOff	System	-	True	-	2016-11-21 01:57:03.000000 UTC	-	Session	Unknown	ComHandler	{ae31b729-d5fd-401e-af42-784074835afe}	-RegisterDevice -ScreenOnOff	System	N/A	{51B7FB15-4DCB-400E-9A98-10E802F21FB3}
SpaceManagerTask	LocalSystem	-	False	-	2018-05-04 18:22:00.000000 UTC	-	Boot	Boot trigger	Exe	%windir%\system32\spaceman.exe	/Work	LocalSystem	-	{5267392F-5BB8-45A6-AD93-10211E2F8850}
SpaceManagerTask	LocalSystem	-	True	-	2018-05-04 18:22:00.000000 UTC	-	WindowsNotificationFacility	WNF state 7510bca33e1e8702	Exe	%windir%\system32\spaceman.exe	/Work	LocalSystem	-	{5267392F-5BB8-45A6-AD93-10211E2F8850}
ProcessMemoryDiagnosticEvents	LocalAdmin	-	True	2018-05-14 05:25:24.000000 UTC	2018-05-04 18:22:00.000000 UTC	-	Event	Event trigger: Subscription: <QueryList><Query Id="0" Path="System"><Select Path="System">*[System[Provider[@Name='Microsoft-Windows-WER-SystemErrorReporting'] and (EventID=1000 or EventID=1001 or EventID=1006)]]</Select></Query></QueryList>, Queries: []	ComHandler	{8168e74a-b39f-46d8-adcd-7bed477b80a3}	Event	LocalAdmin	N/A	{545B5BF9-3D17-4EC0-8F78-A08C9F56FBCF}
ProcessMemoryDiagnosticEvents	LocalAdmin	-	True	2018-05-14 05:25:24.000000 UTC	2018-05-04 18:22:00.000000 UTC	-	Event	Event trigger: Subscription: <QueryList><Query Id="0" Path="Application"><Select Path="Application">*[System[Provider[@Name='Application Error'] and EventID=1000]]</Select></Query></QueryList>, Queries: []	ComHandler	{8168e74a-b39f-46d8-adcd-7bed477b80a3}	Event	LocalAdmin	N/A	{545B5BF9-3D17-4EC0-8F78-A08C9F56FBCF}
ProcessMemoryDiagnosticEvents	LocalAdmin	-	True	2018-05-14 05:25:24.000000 UTC	2018-05-04 18:22:00.000000 UTC	-	Event	Event trigger: Subscription: <QueryList><Query Id="0" Path="System"><Select Path="System">*[System[Provider[@Name='Application Popup'] and EventID=1801]]</Select></Query></QueryList>, Queries: []	ComHandler	{8168e74a-b39f-46d8-adcd-7bed477b80a3}	Event	LocalAdmin	N/A	{545B5BF9-3D17-4EC0-8F78-A08C9F56FBCF}
ProcessMemoryDiagnosticEvents	LocalAdmin	-	True	2018-05-14 05:25:24.000000 UTC	2018-05-04 18:22:00.000000 UTC	-	Event	Event trigger: Subscription: <QueryList><Query Id="0" Path="Microsoft-Windows-Kernel-StoreMgr/Operational"><Select Path="Microsoft-Windows-Kernel-StoreMgr/Operational">*[System[Provider[@Name='Microsoft-Windows-Kernel-StoreMgr'] and EventID=6]]</Select></Query></QueryList>, Queries: []	ComHandler	{8168e74a-b39f-46d8-adcd-7bed477b80a3}	Event	LocalAdmin	N/A	{545B5BF9-3D17-4EC0-8F78-A08C9F56FBCF}
MsCtfMonitor	AnyUser	-	True	2020-09-20 23:52:42.000000 UTC	2018-05-04 18:22:00.000000 UTC	2020-09-20 23:52:46.000000 UTC	Logon	Logon trigger	ComHandler	{1575cfe-9a55-4003-a5e1-f38d1ebdcbe1}	-	AnyUser	N/A	{56478235-C914-438B-85CA-52568369A023}
Storage Tiers Optimization	LocalSystem	-	True	-	2018-05-04 18:22:00.000000 UTC	-	Time	-	Exe	%windir%\system32\defrag.exe	-c -h -g -# -m 8 -i 13500	LocalSystem	-	{568AC0B6-44BB-4D3E-B7CB-D4649085FAB7}
IndexerAutomaticMaintenance	LocalService	-	-	2021-09-15 03:52:10.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-09-15 03:52:11.000000 UTC	-	-	ComHandler	{3fba60a6-7bf5-4868-a2ca-6623b3dffea6}	-	LocalService	N/A	{569538E5-354B-4206-BE67-47DAD594A707}
.NET Framework NGEN v4.0.30319	Author	-	-	2021-09-16 01:52:18.000000 UTC	2018-05-04 18:22:01.000000 UTC	2021-09-16 01:52:25.000000 UTC	-	-	ComHandler	{84f0fae1-c27b-4f6f-807b-28cf6f96287d}	/RuntimeWide	Author	N/A	{57B14E59-8805-4BF3-B1F8-E86B92973ABF}
CreateObjectTask	LocalSystem	-	-	2021-02-03 21:50:23.000000 UTC	2018-05-04 18:22:01.000000 UTC	-	-	-	ComHandler	{990a9f8f-301f-45f7-8d0e-68c5952dba43}	-	LocalSystem	N/A	{5810571C-1162-4627-BE06-95F3CCAF7821}
Device	LocalSystem	-	True	2021-09-15 07:50:22.000000 UTC	2018-05-04 18:22:01.000000 UTC	2021-09-15 07:50:31.000000 UTC	Time	-	-	-	-	LocalSystem	-	{5A201377-91EE-4904-B2C6-9F7D7456A03F}
Device	LocalSystem	-	False	2021-09-15 07:50:22.000000 UTC	2018-05-04 18:22:01.000000 UTC	2021-09-15 07:50:31.000000 UTC	WindowsNotificationFacility	WNF state 750cbca3290b9641	-	-	-	LocalSystem	-	{5A201377-91EE-4904-B2C6-9F7D7456A03F}
UserTask	InteractiveUsers	-	True	2021-02-03 15:52:44.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 15:52:44.000000 UTC	WindowsNotificationFacility	WNF state f510bca32a1e890d	ComHandler	{58fb76b9-ac85-4e55-ac04-427593b1d060}	USER	InteractiveUsers	N/A	{5B3610B8-EB8F-483D-9D5D-EFB6075BE647}
UserTask	InteractiveUsers	-	True	2021-02-03 15:52:44.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 15:52:44.000000 UTC	Logon	Logon trigger	ComHandler	{58fb76b9-ac85-4e55-ac04-427593b1d060}	USER	InteractiveUsers	N/A	{5B3610B8-EB8F-483D-9D5D-EFB6075BE647}
UserTask	InteractiveUsers	-	True	2021-02-03 15:52:44.000000 UTC	2018-05-04 18:22:00.000000 UTC	2021-02-03 15:52:44.000000 UTC	Logon	Logon trigger	ComHandler	{58fb76b9-ac85-4e55-ac04-427593b1d060}	USER	InteractiveUsers	N/A	{5B3610B8-EB8F-483D-9D5D-EFB6075BE647}
