L3259: 3860	svchost.exe	0x7fffe5000000	0xc000	CRYPTBASE.DLL	C:\WINDOWS\System32\CRYPTBASE.DLL	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3260: 3860	svchost.exe	0x7fffe48b0000	0x36000	ntmarta.dll	C:\WINDOWS\SYSTEM32\ntmarta.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3261: 3860	svchost.exe	0x7fffe6f10000	0x75f000	shell32.dll	C:\WINDOWS\System32\shell32.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3262: 3860	svchost.exe	0x7fffce9b0000	0x2c000	IDStore.dll	C:\WINDOWS\System32\IDStore.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3263: 3860	svchost.exe	0x7fffe4080000	0x2b000	SAMLIB.dll	C:\WINDOWS\System32\SAMLIB.dll	6	2026-05-12 18:23:32.000000 UTC	Disabled
L3264: 3860	svchost.exe	0x7fffd42e0000	0xa2000	wlidprov.dll	C:\WINDOWS\System32\wlidprov.dll	6	2026-05-12 18:23:33.000000 UTC	Disabled
L3265: 3860	svchost.exe	0x7fffcd620000	0x5a4000	cdp.dll	C:\Windows\System32\cdp.dll	6	2026-05-12 18:23:33.000000 UTC	Disabled
L3266: 3860	svchost.exe	0x7fffc8f30000	0x67000	NotificationControllerPS.dll	C:\Windows\System32\NotificationControllerPS.dll	6	2026-05-12 18:23:34.000000 UTC	Disabled
L3267: 3860	svchost.exe	0x7fffc7350000	0x73000	CapabilityAccessManagerClient.dll	C:\Windows\System32\CapabilityAccessManagerClient.dll	6	2026-05-12 18:23:37.000000 UTC	Disabled
L3268: 3860	svchost.exe	0x7fffde870000	0x60000	usermgrproxy.dll	C:\Windows\System32\usermgrproxy.dll	6	2026-05-12 18:23:38.000000 UTC	Disabled
L3269: 3860	svchost.exe	0x7fffc3a50000	0x143000	ShellCommonCommonProxyStub.dll	C:\Windows\System32\ShellCommonCommonProxyStub.dll	6	2026-05-12 18:23:45.000000 UTC	Disabled
L3270: 3860	svchost.exe	0x7fffac740000	0x65000	wpnclient.dll	C:\Windows\System32\wpnclient.dll	6	2026-05-12 18:25:50.000000 UTC	Disabled
L3271: 3860	svchost.exe	0x7fff9bd70000	0x19b000	ContentDeliveryManager.Utilities.dll	C:\Windows\System32\ContentDeliveryManager.Utilities.dll	6	2026-05-12 18:25:51.000000 UTC	Disabled
L3272: 3860	svchost.exe	0x7fffdbf00000	0x1a000	windows.staterepositorycore.dll	C:\WINDOWS\SYSTEM32\windows.staterepositorycore.dll	6	2026-05-12 18:25:51.000000 UTC	Disabled
L3273: 3860	svchost.exe	0x7fffe58f0000	0x2a000	bcrypt.dll	C:\WINDOWS\system32\bcrypt.dll	-1	2026-05-12 18:25:51.000000 UTC	Disabled
L3274: 3860	svchost.exe	0x7fffd31e0000	0x23d000	msxml6.dll	C:\Windows\System32\msxml6.dll	6	2026-05-12 18:25:51.000000 UTC	Disabled
L3275: 3860	svchost.exe	0x7fffd77d0000	0x1dd000	urlmon.dll	C:\Windows\System32\urlmon.dll	6	2026-05-12 18:25:51.000000 UTC	Disabled
L3276: 3860	svchost.exe	0x7fffc7270000	0xd4000	twinapi.dll	C:\WINDOWS\system32\twinapi.dll	6	2026-05-12 18:25:51.000000 UTC	Disabled
L3277: 3860	svchost.exe	0x7fffe03a0000	0x43000	XmlLite.dll	C:\WINDOWS\system32\XmlLite.dll	6	2026-05-12 18:25:51.000000 UTC	Disabled
