L3466: 5432	StartMenuExper	0x7fffdfe60000	0xdb000	UiaManager.dll	C:\Windows\System32\UiaManager.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3467: 5432	StartMenuExper	0x7ffff0cf0000	0x1b6000	WindowManagementAPI.dll	C:\WINDOWS\SYSTEM32\WindowManagementAPI.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3468: 5432	StartMenuExper	0x7fffe3fb0000	0x16f000	windows.ui.core.textinput.dll	C:\WINDOWS\SYSTEM32\windows.ui.core.textinput.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3469: 5432	StartMenuExper	0x7fffeb690000	0x148000	TextInputFramework.dll	C:\WINDOWS\SYSTEM32\TextInputFramework.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3470: 5432	StartMenuExper	0x7fffedfc0000	0x14f000	Windows.UI.Immersive.dll	C:\Windows\System32\Windows.UI.Immersive.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3471: 5432	StartMenuExper	0x7fffdc910000	0x5a000	DataExchange.dll	C:\WINDOWS\system32\DataExchange.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3472: 5432	StartMenuExper	0x7fffe3a00000	0x16000	threadpoolwinrt.dll	C:\Windows\System32\threadpoolwinrt.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3473: 5432	StartMenuExper	0x7fffe86a0000	0x117000	SystemSettings.DataModel.dll	C:\Windows\System32\SystemSettings.DataModel.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3474: 5432	StartMenuExper	0x7ffff4a40000	0x2d000	slc.dll	C:\WINDOWS\SYSTEM32\slc.dll	6	2026-05-13 19:15:50.000000 UTC	Disabled
L3475: 5432	StartMenuExper	0x7ffff8e80000	0x67000	shlwapi.dll	C:\WINDOWS\System32\shlwapi.dll	-1	2026-05-13 19:15:50.000000 UTC	Disabled
L3476: 5432	StartMenuExper	0x7ffff5370000	0x49000	SspiCli.dll	C:\WINDOWS\SYSTEM32\SspiCli.dll	-1	2026-05-13 19:15:50.000000 UTC	Disabled
