Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
* 0x990ef29b87f0	DEV	USBXHCI	USBPDO-0	N/A	FILE_DEVICE_UNKNOWN
** 0x990ef29b87f0	ATT	USBXHCI	-	\Driver\USBHUB3	FILE_DEVICE_UNKNOWN
0x990ef29b8c30	DRV	HDAudBus	N/A	N/A	N/A
* 0x990ef29b8c30	DEV	HDAudBus	00000024	N/A	FILE_DEVICE_SOUND
** 0x990ef29b8c30	ATT	HDAudBus	00000025	\Driver\HdAudAddService	FILE_DEVICE_KS
*** 0x990ef29b8c30	ATT	HDAudBus	00000026	\Driver\ksthunk	FILE_DEVICE_KS
0x990ef29bc0a0	DRV	E1G60	N/A	N/A	N/A
* 0x990ef29bc0a0	DEV	E1G60	INTELPRO_{87B7CD4C-D2A9-4887-BA90-0B298138D5D7}	N/A	FILE_DEVICE_NETWORK
0x990ef29bc2c0	DRV	mouclass	N/A	N/A	N/A
* 0x990ef29bc2c0	DEV	mouclass	PointerClass1	N/A	FILE_DEVICE_MOUSE
0x990ef29bc4e0	DRV	kbdclass	N/A	N/A	N/A
* 0x990ef29bc4e0	DEV	kbdclass	KeyboardClass0	N/A	FILE_DEVICE_KEYBOARD
0x990ef29bc700	DRV	i8042prt	N/A	N/A	N/A
* 0x990ef29bc700	DEV	i8042prt	-	N/A	FILE_DEVICE_8042_PORT
** 0x990ef29bc700	ATT	i8042prt	PointerClass0	\Driver\mouclass	FILE_DEVICE_MOUSE
0x990ef29bcb40	DRV	CAD	N/A	N/A	N/A
* 0x990ef29bcb40	DEV	CAD	-	N/A	FILE_DEVICE_UNKNOWN
0x990ef29bd060	DRV	umbus	N/A	N/A	N/A
* 0x990ef29bd060	DEV	umbus	-	N/A	FILE_DEVICE_BUS_EXTENDER
0x990ef29bd6c0	DRV	kdnic	N/A	N/A	N/A
* 0x990ef29bd6c0	DEV	kdnic	-	N/A	FILE_DEVICE_NETWORK
0x990ef2a470a0	DRV	CmBatt	N/A	N/A	N/A
* 0x990ef2a470a0	DEV	CmBatt	-	N/A	FILE_DEVICE_BATTERY
0x990ef2a4be10	DRV	ksthunk	N/A	N/A	N/A
* 0x990ef2a4be10	DEV	ksthunk	00000026	N/A	FILE_DEVICE_KS
0x990ef2a4e390	DRV	rdpbus	N/A	N/A	N/A
* 0x990ef2a4e390	DEV	rdpbus	RdpBus	N/A	UNKNOWN
0x990ef2a4f060	DRV	NdisVirtualBus	N/A	N/A	N/A
* 0x990ef2a4f060	DEV	NdisVirtualBus	-	N/A	FILE_DEVICE_BUS_EXTENDER
0x990ef2a4f070	DRV		N/A	N/A	N/A
* 0x990ef2a4f070	DEV		-	N/A	UNKNOWN
0x990ef2a4f5f0	DRV	swenum	N/A	N/A	N/A
* 0x990ef2a4f5f0	DEV	swenum	-	N/A	FILE_DEVICE_BUS_EXTENDER
0x990ef2a87060	DRV	mouhid	N/A	N/A	N/A
* 0x990ef2a87060	DEV	mouhid	-	N/A	FILE_DEVICE_MOUSE
** 0x990ef2a87060	ATT	mouhid	PointerClass1	\Driver\mouclass	FILE_DEVICE_MOUSE
0x990ef2ace960	DRV	HdAudAddService	N/A	N/A	N/A
* 0x990ef2ace960	DEV	HdAudAddService	00000025	N/A	FILE_DEVICE_KS
** 0x990ef2ace960	ATT	HdAudAddService	00000026	\Driver\ksthunk	FILE_DEVICE_KS
0x990ef2ad3060	DRV	fastfat	N/A	N/A	N/A
* 0x990ef2ad3060	DEV	fastfat	-	N/A	FILE_DEVICE_DISK_FILE_SYSTEM
** 0x990ef2ad3060	ATT	fastfat	-	\FileSystem\FltMgr	FILE_DEVICE_DISK_FILE_SYSTEM
0x990ef4034a30	DRV	HidUsb	N/A	N/A	N/A
* 0x990ef4034a30	DEV	HidUsb	00000027	N/A	FILE_DEVICE_UNKNOWN
** 0x990ef4034a30	ATT	HidUsb	-	\Driver\mouhid	FILE_DEVICE_MOUSE
*** 0x990ef4034a30	ATT	HidUsb	PointerClass1	\Driver\mouclass	FILE_DEVICE_MOUSE
