Volatility 3 Framework 2.28.1

Offset	Name
0x990ef6e79d30	SM0:3212:304:WilStaging_02
0x990ef6e7a3f0	UGatherer_Perf_Library_Lock_PID_c48
0x990ef6e7a930	TapiSrv_Perf_Library_Lock_PID_c48
0x990ef6e7a9f0	.NET Memory Cache 4.0_Perf_Library_Lock_PID_c48
0x990ef6e7acf0	SM0:2600:120:WilError_03
0x990ef6e7b3b0	LSM_Perf_Library_Lock_PID_c48
0x990ef6e7b5f0	RemoteAccess_Perf_Library_Lock_PID_c48
0x990ef6e7b770	ESENT_Perf_Library_Lock_PID_c48
0x990ef6e7b8f0	.NET Data Provider for SqlServer_Perf_Library_Lock_PID_c48
0x990ef6e7c130	.NETFramework_Perf_Library_Lock_PID_c48
0x990ef6e7c2b0	rdyboost_Perf_Library_Lock_PID_c48
0x990ef6e7c370	Spooler_Perf_Library_Lock_PID_c48
0x990ef6e7c730	BITS_Perf_Library_Lock_PID_c48
0x990ef6e7cc70	SM0:3284:304:WilStaging_02
0x990ef6e7dcf0	MSDTC_Perf_Library_Lock_PID_c48
0x990ef6e7e530	Installing
0x990ef6e7e770	Tcpip_Perf_Library_Lock_PID_c48
0x990ef70dc1b0	WSearchIdxPi_Perf_Library_Lock_PID_c48
0x990ef70dc270	ZonesLockedCacheCounterMutex
0x990ef70dc870	SM0:1708:120:WilError_03
0x990ef70dd530	ZonesCacheCounterMutex
0x990ef70dd5f0	SM0:3144:120:WilError_03
0x990ef70de8b0	WmiApRpl_Perf_Library_Lock_PID_c48
0x990ef70dfab0	SM0:3948:304:WilStaging_02
0x990ef70e0530	SM0:2620:120:WilError_03
0x990ef70e0fb0	SM0:8068:304:WilStaging_02
0x990ef70e1bb0	SM0:2732:304:WilStaging_02
0x990ef70e1df0	SM0:3960:304:WilStaging_02
0x990ef70e2270	SM0:1708:304:WilStaging_02
0x990ef70e2930	SM0:2660:120:WilError_03
0x990ef70e36b0	InventorySynchronizationInventoryApplicationFileMutex2600
0x990ef7102790	N/A
