L3905: 5684	RuntimeBroker.	0x7fffe66b0000	0x47000	windows.staterepositoryclient.dll	C:\WINDOWS\SYSTEM32\windows.staterepositoryclient.dll	6	2026-05-13 19:15:59.000000 UTC	Disabled
L3906: 5684	RuntimeBroker.	0x7fffe3d30000	0x70000	WsxPackManager.dll	C:\Windows\SystemApps\MicrosoftWindows.Client.Photon_cw5n1h2txyewy\WsxPackManager.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3907: 5684	RuntimeBroker.	0x7fffe3b40000	0xc000	VCRUNTIME140_1_APP.dll	C:\Windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy\VCRUNTIME140_1_APP.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3908: 5684	RuntimeBroker.	0x7fffe3930000	0x1d000	VCRUNTIME140_APP.dll	C:\Windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy\VCRUNTIME140_APP.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3909: 5684	RuntimeBroker.	0x7fffe3950000	0x8c000	MSVCP140_APP.dll	C:\Windows\SystemApps\MicrosoftWindows.Client.CoreAI_cw5n1h2txyewy\MSVCP140_APP.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3910: 5684	RuntimeBroker.	0x7ffff8710000	0x75f000	shell32.dll	C:\WINDOWS\System32\shell32.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3911: 5684	RuntimeBroker.	0x7fffba1d0000	0x160000	SettingsEnvironment.Desktop.dll	C:\WINDOWS\SYSTEM32\SettingsEnvironment.Desktop.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3912: 5684	RuntimeBroker.	0x7fffe15b0000	0x1c000	gamemode.dll	C:\WINDOWS\SYSTEM32\gamemode.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3913: 5684	RuntimeBroker.	0x7ffff16d0000	0x1fe000	webauthn.dll	C:\WINDOWS\SYSTEM32\webauthn.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3914: 5684	RuntimeBroker.	0x7fffe1950000	0x87000	MDMRegistration.DLL	C:\WINDOWS\SYSTEM32\MDMRegistration.DLL	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3915: 5684	RuntimeBroker.	0x7fffd46e0000	0x99000	MFSENSORGROUP.dll	C:\WINDOWS\SYSTEM32\MFSENSORGROUP.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3916: 5684	RuntimeBroker.	0x7fffba090000	0x135000	DismApi.DLL	C:\WINDOWS\SYSTEM32\DismApi.DLL	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3917: 5684	RuntimeBroker.	0x7ffff51f0000	0x36000	ntmarta.dll	C:\WINDOWS\SYSTEM32\ntmarta.dll	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3918: 5684	RuntimeBroker.	0x7ffff14e0000	0x25000	SPPC.DLL	C:\WINDOWS\SYSTEM32\SPPC.DLL	6	2026-05-13 19:16:00.000000 UTC	Disabled
L3919: 5684	RuntimeBroker.	0x7fffeb830000	0x1e3000	inputhost.dll	C:\WINDOWS\SYSTEM32\inputhost.dll	6	2026-05-13 19:16:01.000000 UTC	Disabled
L3920: 5684	RuntimeBroker.	0x7ffff3700000	0x127000	CoreMessaging.dll	C:\WINDOWS\SYSTEM32\CoreMessaging.dll	-1	2026-05-13 19:16:01.000000 UTC	Disabled
L3921: 5684	RuntimeBroker.	0x7ffff7df0000	0x15d000	MSCTF.dll	C:\WINDOWS\System32\MSCTF.dll	6	2026-05-13 19:16:01.000000 UTC	Disabled
L3922: 5684	RuntimeBroker.	0x7fffe9e80000	0x8d000	NetworkUXBroker.dll	C:\Windows\System32\NetworkUXBroker.dll	6	2026-05-13 19:16:01.000000 UTC	Disabled
L3923: 5684	RuntimeBroker.	0x7fffe4130000	0x60000	EthernetMediaManager.dll	C:\Windows\System32\EthernetMediaManager.dll	6	2026-05-13 19:16:01.000000 UTC	Disabled
L3924: 5684	RuntimeBroker.	0x7fffe6700000	0x33000	dot3api.dll	C:\Windows\System32\dot3api.dll	6	2026-05-13 19:16:01.000000 UTC	Disabled
L3925: 5684	RuntimeBroker.	0x7fffed370000	0x22000	MobileNetworking.dll	C:\Windows\System32\MobileNetworking.dll	6	2026-05-13 19:16:01.000000 UTC	Disabled
L3926: 5684	RuntimeBroker.	0x7ffff3c60000	0x29000	wtsapi32.dll	C:\WINDOWS\SYSTEM32\wtsapi32.dll	6	2026-05-13 19:16:01.000000 UTC	Disabled
