Volatility 3 Framework 2.28.1

Offset	Type	DriverName	DeviceName	DriverNameOfAttDevice	DeviceType
* 0xc08eac87d750	DEV	GpuEnergyDrv	gpuenergydrv	N/A	FILE_DEVICE_UNKNOWN
0xc08eac885b10	DRV	FileCrypt	N/A	N/A	N/A
0xc08eac88a380	DRV	Beep	N/A	N/A	N/A
* 0xc08eac88a380	DEV	Beep	Beep	N/A	FILE_DEVICE_BEEP
0xc08eac899800	DRV	vwififlt	N/A	N/A	N/A
* 0xc08eac899800	DEV	vwififlt	vwififlt	N/A	FILE_DEVICE_NETWORK
0xc08eac89b060	DRV	mfenlfk	N/A	N/A	N/A
* 0xc08eac89b060	DEV	mfenlfk	mfenlfk	N/A	FILE_DEVICE_NETWORK
0xc08eac8ba620	DRV	cdrom	N/A	N/A	N/A
* 0xc08eac8ba620	DEV	cdrom	CdRom0	N/A	FILE_DEVICE_CD_ROM
0xc08eac91b520	DRV	umbus	N/A	N/A	N/A
* 0xc08eac91b520	DEV	umbus	00000072	N/A	FILE_DEVICE_BUS_EXTENDER
** 0xc08eac91b520	ATT	umbus	-	\Driver\tsusbhub	FILE_DEVICE_BUS_EXTENDER
0xc08eac95d800	DRV	kbdclass	N/A	N/A	N/A
* 0xc08eac95d800	DEV	kbdclass	KeyboardClass0	N/A	FILE_DEVICE_KEYBOARD
0xc08eac9617b0	DRV	kdnic	N/A	N/A	N/A
* 0xc08eac9617b0	DEV	kdnic	-	N/A	FILE_DEVICE_NETWORK
0xc08eac965a30	DRV	WscVReg	N/A	N/A	N/A
* 0xc08eac965a30	DEV	WscVReg	VRegDriver	N/A	FILE_DEVICE_UNKNOWN
0xc08eac9669c0	DRV	CompositeBus	N/A	N/A	N/A
* 0xc08eac9669c0	DEV	CompositeBus	-	N/A	FILE_DEVICE_BUS_EXTENDER
0xc08eac96f1c0	DRV	i8042prt	N/A	N/A	N/A
* 0xc08eac96f1c0	DEV	i8042prt	-	N/A	FILE_DEVICE_8042_PORT
** 0xc08eac96f1c0	ATT	i8042prt	-	\Driver\vmmouse	FILE_DEVICE_MOUSE
*** 0xc08eac96f1c0	ATT	i8042prt	PointerClass0	\Driver\mouclass	FILE_DEVICE_MOUSE
0xc08eac977290	DRV	vmmouse	N/A	N/A	N/A
* 0xc08eac977290	DEV	vmmouse	-	N/A	FILE_DEVICE_MOUSE
** 0xc08eac977290	ATT	vmmouse	PointerClass0	\Driver\mouclass	FILE_DEVICE_MOUSE
0xc08eac987e60	DRV	vmxnet3ndis6	N/A	N/A	N/A
* 0xc08eac987e60	DEV	vmxnet3ndis6	NDMP1	N/A	FILE_DEVICE_PHYSICAL_NETCARD
0xc08eac98a210	DRV	gencounter	N/A	N/A	N/A
* 0xc08eac98a210	DEV	gencounter	VmGenerationCounter	N/A	FILE_DEVICE_UNKNOWN
0xc08eac98b690	DRV	vm3dmp	N/A	N/A	N/A
* 0xc08eac98b690	DEV	vm3dmp	Video1	N/A	FILE_DEVICE_VIDEO
0xc08eac9a7480	DRV	NdisVirtualBus	N/A	N/A	N/A
* 0xc08eac9a7480	DEV	NdisVirtualBus	-	N/A	FILE_DEVICE_BUS_EXTENDER
0xc08eac9af8c0	DRV	mouclass	N/A	N/A	N/A
* 0xc08eac9af8c0	DEV	mouclass	PointerClass0	N/A	FILE_DEVICE_MOUSE
0xc08eac9b5410	DRV	intelppm	N/A	N/A	N/A
* 0xc08eac9b5410	DEV	intelppm	-	N/A	FILE_DEVICE_UNKNOWN
0xc08eac9ea060	DRV	rdpbus	N/A	N/A	N/A
* 0xc08eac9ea060	DEV	rdpbus	RdpBus	N/A	UNKNOWN
0xc08eac9fca30	DRV	swenum	N/A	N/A	N/A
* 0xc08eac9fca30	DEV	swenum	-	N/A	FILE_DEVICE_BUS_EXTENDER
0xc08eacaee550	DRV	mfeaack	N/A	N/A	N/A
* 0xc08eacaee550	DEV	mfeaack	-	N/A	FILE_DEVICE_UNKNOWN
0xc08eacbaa370	DRV	mfeplk	N/A	N/A	N/A
0xc08eacbc2a30	DRV	mfeavfk	N/A	N/A	N/A
0xc08ead3eee60	DRV	mfefirek	N/A	N/A	N/A
* 0xc08ead3eee60	DEV	mfefirek	-	N/A	FILE_DEVICE_UNKNOWN
0xc08ead3f7510	DRV	mfeaacsk	N/A	N/A	N/A
0xc08ead4ff2d0	DRV	Win32k	N/A	N/A	N/A
0xc08ead77e060	DRV	monitor	N/A	N/A	N/A
* 0xc08ead77e060	DEV	monitor	-	N/A	FILE_DEVICE_UNKNOWN
0xc08eae6949d0	DRV	HTTP	N/A	N/A	N/A
* 0xc08eae6949d0	DEV	HTTP	ReqQueue	N/A	FILE_DEVICE_NETWORK
0xc08eae730e60	DRV	VMMemCtl	N/A	N/A	N/A
* 0xc08eae730e60	DEV	VMMemCtl	vmmemctl	N/A	FILE_DEVICE_UNKNOWN
0xc08eae7fa060	DRV	MMCSS	N/A	N/A	N/A
* 0xc08eae7fa060	DEV	MMCSS	MMCSS	N/A	FILE_DEVICE_UNKNOWN
0xc08eaf36d4b0	DRV	RdpVideoMiniport	N/A	N/A	N/A
* 0xc08eaf36d4b0	DEV	RdpVideoMiniport	RdpVideoMiniport15	N/A	FILE_DEVICE_MULTI_UNC_PROVIDER
0xc08eaf372640	DRV	RDPDR	N/A	N/A	N/A
* 0xc08eaf372640	DEV	RDPDR	-	N/A	FILE_DEVICE_NETWORK_FILE_SYSTEM
