Volatility 3 Framework 2.28.1

Cache	FileObject	FileName	Result
ImageSectionObject	0xc08eadb83ef0	dnsapi.dll	file.0xc08eadb83ef0.0xc08eadb97d70.ImageSectionObject.dnsapi.dll.img
ImageSectionObject	0xc08eadbeb360	efslsaext.dll	file.0xc08eadbeb360.0xc08eadbed3d0.ImageSectionObject.efslsaext.dll.img
ImageSectionObject	0xc08eadbf2630	dpapisrv.dll	file.0xc08eadbf2630.0xc08eadbf7360.ImageSectionObject.dpapisrv.dll.img
ImageSectionObject	0xc08eadbd0500	wdigest.dll	file.0xc08eadbd0500.0xc08eadbc8b20.ImageSectionObject.wdigest.dll.img
DataSectionObject	0xc08eadbd09f0	schannel.dll	file.0xc08eadbd09f0.0xc08eb330b9d0.DataSectionObject.schannel.dll.dat
ImageSectionObject	0xc08eadbd09f0	schannel.dll	file.0xc08eadbd09f0.0xc08eadbcc950.ImageSectionObject.schannel.dll.img
ImageSectionObject	0xc08eadbf5480	rsaenh.dll	file.0xc08eadbf5480.0xc08eadbc8010.ImageSectionObject.rsaenh.dll.img
ImageSectionObject	0xc08eadb9a1a0	cloudAP.dll	file.0xc08eadb9a1a0.0xc08eadb9c010.ImageSectionObject.cloudAP.dll.img
ImageSectionObject	0xc08eadbc0cb0	MicrosoftAccountCloudAP.dll	file.0xc08eadbc0cb0.0xc08eadbc0470.ImageSectionObject.MicrosoftAccountCloudAP.dll.img
ImageSectionObject	0xc08eadb8d210	TSpkg.dll	file.0xc08eadb8d210.0xc08eadb90990.ImageSectionObject.TSpkg.dll.img
ImageSectionObject	0xc08eadb8c2a0	pku2u.dll	file.0xc08eadb8c2a0.0xc08eadba1840.ImageSectionObject.pku2u.dll.img
DataSectionObject	0xc08eadb986e0	IPHLPAPI.DLL	file.0xc08eadb986e0.0xc08eb36219c0.DataSectionObject.IPHLPAPI.DLL.dat
ImageSectionObject	0xc08eadb986e0	IPHLPAPI.DLL	file.0xc08eadb986e0.0xc08eadb89c30.ImageSectionObject.IPHLPAPI.DLL.img
ImageSectionObject	0xc08eadb83080	gmsaclient.dll	file.0xc08eadb83080.0xc08eadb8b480.ImageSectionObject.gmsaclient.dll.img
ImageSectionObject	0xc08eadb9b1f0	netutils.dll	file.0xc08eadb9b1f0.0xc08eadb8d7b0.ImageSectionObject.netutils.dll.img
ImageSectionObject	0xc08eadb9b380	netlogon.dll	file.0xc08eadb9b380.0xc08eadb90db0.ImageSectionObject.netlogon.dll.img
ImageSectionObject	0xc08eadb7e620	KerbClientShared.dll	file.0xc08eadb7e620.0xc08eadb71010.ImageSectionObject.KerbClientShared.dll.img
ImageSectionObject	0xc08eadb75df0	kerberos.dll	file.0xc08eadb75df0.0xc08eadb787c0.ImageSectionObject.kerberos.dll.img
DataSectionObject	0xc08eadb6bef0	cryptsp.dll	Error dumping file
ImageSectionObject	0xc08eadb6bef0	cryptsp.dll	file.0xc08eadb6bef0.0xc08eadb73610.ImageSectionObject.cryptsp.dll.img
ImageSectionObject	0xc08eadb4eef0	samsrv.dll	file.0xc08eadb4eef0.0xc08eadb4fc40.ImageSectionObject.samsrv.dll.img
ImageSectionObject	0xc08eadb6c250	netprovfw.dll	Error dumping file
ImageSectionObject	0xc08ead4aa860	joinutil.dll	file.0xc08ead4aa860.0xc08eadb6e8a0.ImageSectionObject.joinutil.dll.img
ImageSectionObject	0xc08eadb4aef0	ncrypt.dll	file.0xc08eadb4aef0.0xc08eadb5e810.ImageSectionObject.ncrypt.dll.img
ImageSectionObject	0xc08eadb60080	ntasn1.dll	file.0xc08eadb60080.0xc08eadb5faf0.ImageSectionObject.ntasn1.dll.img
DataSectionObject	0xc08eadb4a080	lsasrv.dll	file.0xc08eadb4a080.0xc08eaff5bcc0.DataSectionObject.lsasrv.dll.dat
ImageSectionObject	0xc08eadb4a080	lsasrv.dll	file.0xc08eadb4a080.0xc08eadb27bd0.ImageSectionObject.lsasrv.dll.img
DataSectionObject	0xc08eac9d1cc0	oleaut32.dll	Error dumping file
ImageSectionObject	0xc08eac9d1cc0	oleaut32.dll	file.0xc08eac9d1cc0.0xc08eae514010.ImageSectionObject.oleaut32.dll.img
ImageSectionObject	0xc08eaca06080	nsi.dll	file.0xc08eaca06080.0xc08eae512450.ImageSectionObject.nsi.dll.img
ImageSectionObject	0xc08eacb535f0	Wldap32.dll	file.0xc08eacb535f0.0xc08eacae66b0.ImageSectionObject.Wldap32.dll.img
DataSectionObject	0xc08eaf1e1980	R00000000000d.clb	Error dumping file
DataSectionObject	0xc08eae964ac0	umpo.dll	file.0xc08eae964ac0.0xc08eb3122a20.DataSectionObject.umpo.dll.dat
ImageSectionObject	0xc08eae964ac0	umpo.dll	file.0xc08eae964ac0.0xc08eae980b60.ImageSectionObject.umpo.dll.img
ImageSectionObject	0xc08eaf1a15a0	rmclient.dll	file.0xc08eaf1a15a0.0xc08eaf17d010.ImageSectionObject.rmclient.dll.img
DataSectionObject	0xc08eaf1bb600	wer.dll	Error dumping file
ImageSectionObject	0xc08eaf1bb600	wer.dll	file.0xc08eaf1bb600.0xc08eaf1b7db0.ImageSectionObject.wer.dll.img
ImageSectionObject	0xc08eaf3529e0	bi.dll	file.0xc08eaf3529e0.0xc08eaf35e840.ImageSectionObject.bi.dll.img
ImageSectionObject	0xc08eae5c9320	svchost.exe	file.0xc08eae5c9320.0xc08eadbe2db0.ImageSectionObject.svchost.exe.img
ImageSectionObject	0xc08eaf35f710	usermgrcli.dll	file.0xc08eaf35f710.0xc08eaf365170.ImageSectionObject.usermgrcli.dll.img
ImageSectionObject	0xc08eadb844e0	TaskSchdPS.dll	file.0xc08eadb844e0.0xc08ead92a9b0.ImageSectionObject.TaskSchdPS.dll.img
ImageSectionObject	0xc08eaf1f8610	dab.dll	file.0xc08eaf1f8610.0xc08eaf1f47e0.ImageSectionObject.dab.dll.img
ImageSectionObject	0xc08eaf336c70	lsmproxy.dll	file.0xc08eaf336c70.0xc08eaf2de010.ImageSectionObject.lsmproxy.dll.img
ImageSectionObject	0xc08eaf1e0220	SystemEventsBrokerServer.dll	file.0xc08eaf1e0220.0xc08eaf1f34a0.ImageSectionObject.SystemEventsBrokerServer.dll.img
ImageSectionObject	0xc08eaf1f5e70	BrokerLib.dll	file.0xc08eaf1f5e70.0xc08eaf1f6ae0.ImageSectionObject.BrokerLib.dll.img
ImageSectionObject	0xc08eaf1c32e0	ResourcePolicyServer.dll	file.0xc08eaf1c32e0.0xc08eaf1e08e0.ImageSectionObject.ResourcePolicyServer.dll.img
ImageSectionObject	0xc08eaf1b7080	sysntfy.dll	file.0xc08eaf1b7080.0xc08eaf1bea30.ImageSectionObject.sysntfy.dll.img
ImageSectionObject	0xc08eaf1b8d50	PsmServiceExtHost.dll	file.0xc08eaf1b8d50.0xc08eaf1b9490.ImageSectionObject.PsmServiceExtHost.dll.img
ImageSectionObject	0xc08eaf1adef0	embeddedmodesvcapi.dll	file.0xc08eaf1adef0.0xc08eaf1d5800.ImageSectionObject.embeddedmodesvcapi.dll.img
ImageSectionObject	0xc08eaf1a8560	lsm.dll	file.0xc08eaf1a8560.0xc08eaf1b06f0.ImageSectionObject.lsm.dll.img
ImageSectionObject	0xc08eaf135ef0	hid.dll	file.0xc08eaf135ef0.0xc08eaf130de0.ImageSectionObject.hid.dll.img
ImageSectionObject	0xc08eaf1b2c70	psmsrv.dll	file.0xc08eaf1b2c70.0xc08eaf1d3980.ImageSectionObject.psmsrv.dll.img
DataSectionObject	0xc08eaf1a96d0	ResourcePolicyClient.dll	file.0xc08eaf1a96d0.0xc08eaf7591a0.DataSectionObject.ResourcePolicyClient.dll.dat
ImageSectionObject	0xc08eaf1a96d0	ResourcePolicyClient.dll	file.0xc08eaf1a96d0.0xc08eaf177800.ImageSectionObject.ResourcePolicyClient.dll.img
ImageSectionObject	0xc08eaf1d18c0	bisrv.dll	file.0xc08eaf1d18c0.0xc08eaf1b2500.ImageSectionObject.bisrv.dll.img
ImageSectionObject	0xc08eaf1b2360	twinapi.appcore.dll	file.0xc08eaf1b2360.0xc08eaf1a1750.ImageSectionObject.twinapi.appcore.dll.img
ImageSectionObject	0xc08eaf145af0	rpcss.dll	file.0xc08eaf145af0.0xc08eaf14d3e0.ImageSectionObject.rpcss.dll.img
ImageSectionObject	0xc08eae995870	mintdh.dll	file.0xc08eae995870.0xc08eae991c20.ImageSectionObject.mintdh.dll.img
ImageSectionObject	0xc08eae975e70	tdh.dll	file.0xc08eae975e70.0xc08eae982db0.ImageSectionObject.tdh.dll.img
DataSectionObject	0xc08eae983dc0	dxgi.dll	file.0xc08eae983dc0.0xc08eaab0d010.DataSectionObject.dxgi.dll.dat
ImageSectionObject	0xc08eae983dc0	dxgi.dll	file.0xc08eae983dc0.0xc08eae983010.ImageSectionObject.dxgi.dll.img
ImageSectionObject	0xc08eae958580	umpoext.dll	file.0xc08eae958580.0xc08eae9845f0.ImageSectionObject.umpoext.dll.img
ImageSectionObject	0xc08eae5ee080	umpnpmgr.dll	file.0xc08eae5ee080.0xc08eae96b010.ImageSectionObject.umpnpmgr.dll.img
ImageSectionObject	0xc08eae5ee4e0	wldp.dll	file.0xc08eae5ee4e0.0xc08eae95c010.ImageSectionObject.wldp.dll.img
DataSectionObject	0xc08eac8fc830	kernel.appcore.dll	Error dumping file
